RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
102001,0,United States,country,,42.0,37.0,36.0,36.0,38.0,40.0,39.0,39.0,39.0,39.0,38.0,38.0,40.0,37.0,36.0,37.0,38.0,40.0,40.0,39.0,40.0,39.0,39.0,40.0,42.0,38.0,38.0,41.0,42.0,40.0,40.0,42.0,42.0,43.0,44.0,44.0,43.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,40.0,38.0,38.0,38.0,39.0,39.0,38.0,38.0,38.0,38.0,38.0,39.0,35.0,35.0
394913,1,"New York, NY",msa,NY,72.0,67.0,61.0,58.0,56.0,62.0,65.0,64.0,63.0,63.0,62.0,60.0,65.0,64.0,59.0,57.0,57.0,59.0,63.0,62.0,62.0,63.0,63.0,62.0,65.0,65.0,58.0,57.0,63.0,64.0,57.0,57.0,62.0,65.0,67.0,68.0,62.0,59.0,63.0,68.0,69.0,71.0,72.0,72.0,72.0,73.0,73.0,66.0,71.0,73.0,70.0,65.0,66.0,69.0,69.0,66.0,61.0,60.0,61.0,61.0,65.0,63.0,56.0
753899,2,"Los Angeles, CA",msa,CA,39.0,33.0,33.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,35.0,34.0,36.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,36.0,35.0,35.0,36.0,38.0,34.0,33.0,37.0,36.0,34.0,34.0,34.0,36.0,37.0,37.0,38.0,39.0,35.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,34.0,36.0,31.0,30.0,30.0,30.0,31.0,30.0,29.0,30.0,30.0,31.0,31.0,33.0,29.0,30.0
394463,3,"Chicago, IL",msa,IL,53.0,49.0,45.0,46.0,50.0,52.0,51.0,48.0,48.0,47.0,47.0,46.0,49.0,47.0,45.0,45.0,48.0,51.0,51.0,51.0,51.0,50.0,49.0,49.0,52.0,48.0,46.0,53.0,58.0,57.0,52.0,56.0,60.0,64.0,62.0,60.0,64.0,59.0,54.0,56.0,56.0,58.0,60.0,58.0,56.0,53.0,54.0,53.0,56.0,57.0,49.0,47.0,47.0,49.0,50.0,49.0,48.0,47.0,47.0,46.0,49.0,42.0,41.0
394514,4,"Dallas, TX",msa,TX,25.0,24.0,23.0,24.0,25.0,26.0,25.0,24.0,25.0,25.0,24.0,24.0,25.0,23.0,24.0,24.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,26.0,24.0,24.0,28.0,27.0,27.0,27.0,28.0,28.0,28.0,29.0,29.0,29.0,28.0,28.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,27.0,28.0,27.0,26.0,29.0,29.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,31.0,30.0,29.0
394692,5,"Houston, TX",msa,TX,36.0,33.0,33.0,34.0,35.0,37.0,36.0,35.0,35.0,35.0,34.0,34.0,35.0,33.0,33.0,34.0,35.0,36.0,35.0,34.0,35.0,35.0,34.0,34.0,35.0,33.0,34.0,37.0,37.0,36.0,37.0,38.0,39.0,40.0,38.0,38.0,38.0,36.0,38.0,36.0,35.0,36.0,36.0,35.0,35.0,35.0,34.0,35.0,36.0,33.0,32.0,32.0,32.0,33.0,32.0,31.0,31.0,31.0,31.0,31.0,32.0,30.0,30.0
395209,6,"Washington, DC",msa,VA,51.0,37.0,29.0,29.0,31.0,35.0,41.0,43.0,44.0,42.0,42.0,43.0,46.0,42.0,40.0,40.0,42.0,43.0,43.0,44.0,43.0,44.0,44.0,45.0,49.0,43.0,39.0,43.0,44.0,43.0,41.0,42.0,42.0,35.0,41.0,43.0,48.0,45.0,39.0,39.0,38.0,40.0,40.0,41.0,42.0,42.0,41.0,41.0,46.0,39.0,35.0,34.0,35.0,37.0,36.0,37.0,37.0,36.0,37.0,38.0,41.0,36.0,34.0
394974,7,"Philadelphia, PA",msa,PA,50.0,46.0,40.0,44.0,46.0,45.0,42.0,49.0,53.0,53.0,50.0,49.0,52.0,50.0,47.0,48.0,50.0,53.0,55.0,52.0,51.0,52.0,50.0,51.0,55.0,52.0,48.0,53.0,60.0,56.0,49.0,53.0,56.0,48.0,52.0,57.0,63.0,61.0,60.0,59.0,58.0,59.0,60.0,59.0,57.0,55.0,54.0,58.0,69.0,69.0,59.0,52.0,52.0,53.0,55.0,53.0,51.0,50.0,49.0,49.0,51.0,48.0,43.0
394856,8,"Miami, FL",msa,FL,44.0,41.0,41.0,42.0,43.0,46.0,45.0,43.0,43.0,41.0,42.0,41.0,44.0,40.0,38.0,41.0,44.0,45.0,45.0,42.0,45.0,44.0,44.0,44.0,46.0,41.0,42.0,46.0,47.0,42.0,42.0,45.0,47.0,47.0,47.0,49.0,38.0,35.0,41.0,47.0,49.0,50.0,50.0,49.0,48.0,46.0,46.0,47.0,49.0,45.0,44.0,46.0,45.0,46.0,45.0,41.0,41.0,44.0,44.0,41.0,41.0,39.0,39.0
394347,9,"Atlanta, GA",msa,GA,36.0,32.0,32.0,33.0,34.0,35.0,33.0,33.0,33.0,33.0,32.0,32.0,33.0,31.0,31.0,33.0,34.0,34.0,34.0,33.0,34.0,33.0,33.0,33.0,35.0,31.0,32.0,33.0,33.0,33.0,33.0,34.0,34.0,34.0,33.0,33.0,34.0,32.0,33.0,33.0,33.0,34.0,32.0,31.0,32.0,31.0,31.0,33.0,38.0,34.0,33.0,33.0,33.0,34.0,34.0,32.0,32.0,33.0,31.0,32.0,33.0,31.0,31.0
