RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30
102001,0,United States,country,,14434.289200696447,14558.63830980458,15011.338932053784,15267.587594089253,15098.245539183568,14658.020808115418,13871.037542393933,13247.152130976008,13935.128617226244,13824.261978655813,13128.231858991023,12920.988175675675,13985.412995982804,14034.435319141681,14496.61284143904,14899.427293630139,14930.55874759309,14584.921906572543,13946.935943442484,13331.38957153942,14010.533652174801,13382.094521454208,12862.473476155528,12362.0456159077,14060.222234335752,16428.84581521601,14756.222027120675,12971.915208880817,13957.440944184811,14966.403403447013,16169.484902247117,16510.59541432314,17359.22635200433,17019.109456726914,16136.958670810978,16375.132830019435,18717.104128371346,19743.409292426826,21234.890543581896,23403.667405316668,23998.820318109476,23065.37192603652,21254.606547067982,19972.60194673534,19930.329169217683,19411.877776746314,18585.403957504685,17743.5122125633,20782.095417285233,25711.03010633092,27816.299547038707,26059.814557076155,26900.85129415647,25920.775398525322,22798.817611423136,21008.005540802857,20777.340655646483,20666.641871780033,19352.096923484896,18119.683050437736,20018.309958546353,20448.482837150717,21794.966095069896,22542.183397521305
394913,1,"New York, NY",msa,NY,39033.38166625707,38321.08561395011,40956.162494785145,40184.789036415874,37810.776375,33351.37522061419,31305.06818717586,28000.551668702978,34510.380124592106,33683.74122970455,32800.18290477314,30661.313538144936,35144.30524587331,32640.942708333332,33436.99571911378,35161.50958286358,33197.27521997135,31207.823220973783,29307.645474943904,26106.111274165763,33299.52477233305,32097.695096431198,31090.183552164657,30369.4000316606,34217.95817082683,35742.20609137056,30523.20947419433,27332.100825167614,29173.225806451614,29932.817094774135,33996.39200583752,34283.441231028664,38903.02396674003,38608.17120872074,37990.07131089668,36193.57617985879,39997.30606900801,42765.73823593784,40621.65605095541,45018.26848920863,42671.26490779378,38720.21668996666,36393.129027880845,35026.05319141803,39293.93193137798,39137.127327461254,37938.33554548398,36207.0987544484,41380.7219537869,,,47797.91408279924,49892.612568761666,47546.911200524,40346.54982171157,35298.85203183315,44740.01248615447,44111.05681510261,41234.67570041609,37830.49128237052,45852.6699113506,43539.90118754201,51748.118972258424,53214.99940215225
753899,2,"Los Angeles, CA",msa,CA,48570.41054044982,42752.55769859431,43137.6420440172,44798.93556353839,42189.63964742482,39350.63395985983,36162.65828178694,31956.012279265582,35429.2616776112,35669.90138640429,35129.98108540667,31728.901954976303,37001.58542581212,35189.453821005314,36335.13865030675,38659.43483128098,38117.09697472026,38413.420250034345,38335.575202990076,36003.7336992904,39855.07258653425,38159.57062587795,40806.91989415444,35995.186854460095,46594.92137751787,57180.93810248605,47297.5511644319,39158.5585618977,37067.26189143817,44942.28150614754,47883.192035182015,53094.47468043264,51803.16628701595,49412.70397196262,50727.60859427049,51282.53198494826,60756.55210643016,60522.99839055794,69192.86936090226,71058.92472073823,67835.7421351212,70155.26941226941,61998.624163319946,55399.73808010171,54829.17324233232,59616.71773555028,55542.94583808438,53127.797717842324,74729.43808532778,77545.6050686378,71023.8,68786.0497881356,63001.60935563817,58840.37730919948,50384.30874906143,48255.46016054338,48654.362515278226,50027.991458266195,49170.58382039574,44881.49087136929,55275.434082522646,61230.200545702595,60919.61638111158,69803.5130480167
394463,3,"Chicago, IL",msa,IL,11767.033541454915,12692.389706998634,12787.45909188263,13590.32724779292,13426.17034082161,12708.64356691186,11968.49148761301,10887.931671554252,11536.288807140272,10707.444072657743,9977.620245757753,9421.046473181485,11825.560409385922,12133.40996986439,12185.391560172842,12875.575428242406,12979.089584073943,12528.765019054024,11715.165569886813,10755.62310626703,11527.852050573736,10617.469783549783,9751.191535863301,8716.903236514523,11065.783086088073,13141.20149550553,11448.389596015495,10529.12273699216,11154.30179550586,12007.420788922293,12958.258652399265,12698.758175486282,12614.292289198009,12117.277970749543,10884.16100524717,10657.614708603145,12645.287557054971,13794.230967741936,15645.859311150029,16084.791206769683,16816.987990392314,16147.320431836453,14635.720461658842,13721.854931605472,13644.609954337899,13008.877639751552,11975.88112324493,11015.170860152135,12786.336569579287,14417.233661920409,17373.166446149775,17621.20908876854,18494.30525272547,17014.783847184986,15750.854967151105,13915.631558604697,14160.948060675883,13785.747845946227,12499.825156358582,11347.754248366013,13438.592616720956,14232.922722342733,15500.664429530201,18186.35696687654
394514,4,"Dallas, TX",msa,TX,12533.857807772865,12026.804311774462,13173.950061399919,12977.210045662101,12525.966619041434,11468.611513122367,10686.799645861,9746.461358719169,10171.319906720373,10427.85735308545,9961.486114715806,9403.59519612164,10460.877971972917,10796.695682695683,10860.06040170063,11345.808557727776,11262.094404533036,10512.215943581503,10124.369419552757,9633.608094435076,10053.722248199756,9705.902462121212,9353.25058068042,8691.948558390375,9499.019351866073,11042.016841092265,10701.575305746355,9358.936825269891,10169.129379645077,11178.866304813599,11411.756855309219,11377.849885658281,12030.75051376901,12866.984225111917,12730.607932182864,12419.236331569666,14188.10327339788,15543.28232405892,16769.25564880568,18563.858990944373,20770.359955005624,19917.88157894737,16528.561097800044,17289.757894736842,16577.577923718112,16239.36313497823,17458.923146884947,16517.834273624823,19290.16295707472,23258.48894062864,20842.649779735682,22893.77110785749,23847.548177887584,22473.02363775902,18858.67892910263,17612.20516543927,15876.003309929789,15953.27470758665,15497.48343923212,13739.229093897678,14781.540300670169,13950.894612970711,15781.409678765123,16934.70349264706
394692,5,"Houston, TX",msa,TX,15073.843952371004,13925.333559782608,14213.562067128396,14753.821525690568,13900.515333805142,13244.428162443008,12358.96685660019,12001.998465522202,13326.589800717911,13082.86583143508,12644.77599286033,12194.932046138416,13741.283609022556,12890.84388783869,12955.416294803512,13725.093840170619,13350.953930108091,12494.177198697069,11841.711860068259,11176.113613659069,11920.730165375759,11427.629326620516,11379.69335102462,10963.647045757441,11601.290443379268,13961.325472772842,13122.34935897436,12814.810982888977,12736.199068322981,12938.749927473165,13036.360925225488,12952.46036204744,13401.805860147402,13782.179295234617,13001.26388240784,13929.08606690484,15220.898012100259,15091.662037037036,17149.37103770437,18342.982692973346,20100.412796362456,19984.932004689334,17519.805475504323,17080.693326626424,17745.548212560385,17287.46440526668,17084.741169658366,16076.59917184265,19246.700364963504,18980.16503038803,19089.967334818113,20844.488272216717,21368.61056355825,19684.03482172609,17039.434307008054,15998.847098483024,14873.016358059753,14897.205633802816,15726.659253375696,14857.494882170911,15369.461000735835,15983.098331479421,16432.04468292683,17183.822790202343
395209,6,"Washington, DC",msa,VA,17320.78862444534,17127.232250300844,17234.044444444444,17658.76533270187,17291.754093097912,16691.284901673982,15299.196957938848,13761.493685930767,15806.050909671241,15405.150662477803,15385.24724919094,15516.051521298174,16181.801836806782,16255.754320987655,17703.838239666966,18056.831784175924,17994.051466713507,17430.1394633396,16090.106493043168,14721.336496488897,17030.720191625267,17571.95646853147,15591.303654850233,15353.182470527934,19012.640702386314,22501.139039364392,19218.713412304165,16476.75561687032,17693.04454907642,20251.309637229755,21908.695446265938,20866.748369773686,20483.991695943787,17883.734455219623,17098.563106796115,17813.48122472559,21866.124078624078,21025.881535234897,20406.406740267288,25467.471859296482,24539.31382280558,22380.720950956937,19951.361554152503,17723.339166106252,18685.154381836946,18700.04102779003,17963.177903282744,17379.9374490513,20404.483161068045,20728.88492263056,25306.811525423727,25617.77685950413,25694.320964767863,24171.345630659085,21723.49237304499,19420.199843846312,19979.18624420402,20404.401445568117,19741.075764238412,17775.51801623541,21395.821270903012,23097.201595521343,25112.035820895522,27054.864999999998
394974,7,"Philadelphia, PA",msa,PA,10485.55375059723,11217.821203299369,11718.643846949328,11190.61076604555,13645.194524874967,13064.853519955654,11802.593583617747,11125.926227208976,12592.921719647109,11766.232688927943,11052.568661692332,10951.05628675441,10987.18016234409,11006.944835414302,11746.107937116565,12674.039026629936,13533.523236962983,12539.851169874013,11644.624395249963,11453.772887889496,12582.559527200228,11973.304694048617,11051.890698147772,10077.172992945918,12218.73856727465,14934.69608981804,12666.175100900342,12024.903958090803,11927.463653483992,13625.47239747634,14893.50066436354,14543.785300925925,14803.284496124032,14028.388822259534,13905.246228123115,14187.549322113136,13737.82554945055,14979.178175092478,15394.324735145094,18252.492869875223,18310.285815837935,17185.625667136814,15848.284974093263,14474.49517839923,15515.327634660422,15238.141020972573,14384.574678571427,13312.401289459605,14417.52200220022,15003.762420382165,16885.010727272725,17462.42741592167,19755.418354818907,17002.565164427975,17147.039548922803,15145.643557302836,16232.0133471888,16072.406048906048,15438.765751130019,13341.306528150135,14530.207163146393,14832.591666666667,15989.291554184343,16432.420317919077
394856,8,"Miami, FL",msa,FL,25201.24012700933,23577.788501888375,23577.745194119863,23175.728791773778,22647.159769512833,20975.946781772484,20018.74205690247,18449.551154052602,18584.87434554974,20128.327093416126,20693.500459511895,21853.986945879795,22249.7500998004,22610.474306393244,21286.554214991826,21962.641602590043,21055.477998274375,18903.637759092686,19708.363409022706,18649.530927262633,19753.45959757266,20660.831425300516,21622.729665879175,21547.806136301926,24315.58998263413,27577.867933664205,23536.816571302817,19285.96155234657,22112.653840692885,20302.607081288952,20501.65562097768,21097.312240950538,21240.888905281794,21513.78615794144,20874.05000844737,21224.55944859276,25207.475329372257,21526.13932884537,23954.338113083497,24870.517286417606,26628.772119323243,28905.326896926843,27729.133692343712,28018.81613742964,27133.072481572483,27470.829837441008,28989.5541,28899.1768650461,33269.06373228347,39109.20117850099,44817.332384458074,46373.7776215605,49671.05160185864,47854.922407497965,38419.18589700997,34299.003032214765,34335.37880886427,34313.74752277764,33332.522865265106,35095.986505681816,37911.17742789362,37821.61376554954,36536.225453313455,39084.68708185654
394347,9,"Atlanta, GA",msa,GA,12315.43136272545,13361.053630998204,13712.279369627508,13456.497756237659,13292.195068573095,12760.198621227888,11255.18875311425,10868.166703960618,10842.589299171063,10585.974728838197,9464.224085586236,9200.076750448832,10300.841142347166,10782.240303680475,10764.588314849878,10944.684514683335,11256.841645244216,10874.862915294822,10455.890249736867,9888.475037678974,9759.552332912988,9418.529524908636,8766.381529460929,8486.665513029317,9940.753661576815,11957.816114109484,11773.930036188178,10096.77566539924,11284.50007558579,12007.055607769424,12803.855367793241,12772.243333954875,13142.975406504065,13407.810577328277,13383.023958927553,13139.364785172704,16259.251272727273,16012.731508165225,19622.759157894736,19377.54776299879,21065.928172386273,21151.351546082256,18995.73256351039,19562.60597572362,18111.94153620352,18630.17824933687,17413.65265017668,16277.023942944472,17791.688340807174,18824.927428571427,20215.436815501263,18554.51989026063,21441.124357656732,19890.64272948822,16955.048780487807,16289.625786870503,15336.80557894737,15050.26703116457,14756.544955189362,13089.40350877193,14361.541369863015,15083.093823116518,15502.0379775795,17673.241953385128
